code,number,edition,character,series,quality,wishlists,dropQuality
vhgz2dm,56959,1,Yamada,Junji Ito Collection,2,0,2
vhg2jt3,56704,1,Kururu Nemoto,Keijo!!!!!!!!,1,0,1
vhbml1j,893,4,Canute,Vinland Saga,4,65,4
vh2nksg,2061,5,Monica,Dead or Alive Xtreme Venus Vacation,2,5,2
vhqdx21,7191,4,Karen Araragi,Bakemonogatari,4,46,4
vhv6t9m,8422,4,Naraku,Senran Kagura 2: Deep Crimson,2,11,2
vhvzrpt,55730,1,Roll,The Legend of the Legendary Heroes,2,0,2
vhmwtxv,2608,2,Volume,Nikke: Goddess of Victory,2,64,2
vqcgftv,13168,3,Rindou Kobayashi,Food Wars! Toutsuki Juukketsu,0,89,0
vq8frlg,7917,4,Kotone Shirakawa,Overflow,3,366,3
vqlnq8r,7889,4,Lilith,Combatants Will Be Dispatched!,3,1,3
vqfcbj2,2229,2,Shotaro Hidari,Fuuto PI,3,18,3
vqfjzx8,2023,5,Setsuna Yuki,Love Live! Nijigasaki High School Idol Club,2,46,2
vq97vh3,1843,5,Rui Akikaze,Revue Starlight Re LIVE,2,2,2
vq90m8g,196,4,Delacey,Neural Cloud,1,8,1
vqg9vt3,98,1,Asura,Heavenly Delusion,2,1,2
vq3cmb5,8222,3,Cheshire Cat,Pandora Hearts,2,11,2
vq360qg,5196,4,Yutori Kokonogi,Tomodachi Game,2,4,2
vq3fsql,196,4,Zain,For Whom the Alchemist Exists,2,2,2
vq3ppz6,7177,4,Touko Sakurai,My Senpai is Annoying,1,72,1
vq3m3t5,32117,2,Angel,Fairy Tail,3,6,3
vqrct52,2192,2,Female Shez,Fire Emblem Warriors: Three Hopes,3,6,3
vqr7lqv,419,4,Rosina,Ascendance of a Bookworm Season 2,1,1,1
vqr458f,55185,1,Pichu,Pokémon: Diamond & Pearl,1,11,1
vqrnwk9,8816,4,Seychelles,Hetalia: World Series,2,1,2
vqrk2rl,6981,3,Titan,takt op.Destiny,1,109,1
vqp8lw9,504,2,K,Nikke: Goddess of Victory,3,2,3
vqp85bv,2115,5,Michelle,BanG Dream!,2,7,2
vqp8g8p,21578,2,Koi Kisaragi,Tsukiuta. The Animation,2,1,2
vq4cvc6,13186,3,Mao Isara,Ensemble Stars!,3,23,3
vq4v4c6,7241,4,Altria Pendragon (Alter),Fate/Grand Order,1,110,1
vqz684h,32330,2,Sae Niijima,Persona 5 the Animation,1,22,1
vqzrr7g,12188,3,Alfie,Conception,2,1,2
vqk540s,7840,4,Maid Alter,Carnival Phantasm,3,32,3
vqw7rqs,31621,2,Laffitte,One Piece,2,6,2
vqwvt8d,5299,3,Randal,Fire Emblem 0 (Cipher),2,1,2
